Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression BackOffice,Chrome 72.0.3626.121,,2019-03-14 15:38:38,2019-03-14 15:39:48,"1m - 10,213s",PASSED
,,,,,,
Test Cases/Regression BackOffice (All Browsers)/CLNK-23444 - Back office Caregiver Attributes,Chrome 72.0.3626.121,"Summary: Back office Caregiver Attributes
Description: ",2019-03-14 15:38:39,2019-03-14 15:39:46,"1m - 7,886s",PASSED
"callTestCase(findTestCase(""Regression BackOffice (All Browsers)/CLNK-23439 - Clink - Back office Client""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-14 15:38:41,2019-03-14 15:39:04,"23,643s",PASSED
waitForPageLoad(60),Chrome 72.0.3626.121,,2019-03-14 15:39:04,2019-03-14 15:39:04,"0,037s",PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-14 15:39:04,2019-03-14 15:39:08,"3,016s",PASSED
"switchToFrame(findTestObject(""Regression BackOffice/CLNK-23449/FrameLeft""), 30)",Chrome 72.0.3626.121,,2019-03-14 15:39:08,2019-03-14 15:39:08,"0,085s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23441/Caregiver  HRLink""), 100)",Chrome 72.0.3626.121,,2019-03-14 15:39:08,2019-03-14 15:39:08,"0,098s",PASSED
"click(findTestObject(""Regression BackOffice/CLNK-23441/Caregiver  HRLink""))",Chrome 72.0.3626.121,,2019-03-14 15:39:08,2019-03-14 15:39:08,"0,267s",PASSED
delay(2),Chrome 72.0.3626.121,,2019-03-14 15:39:08,2019-03-14 15:39:10,"2,008s",PASSED
waitForPageLoad(50),Chrome 72.0.3626.121,,2019-03-14 15:39:10,2019-03-14 15:39:10,"0,036s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK-23444/Caregiver Attributes""), 50)",Chrome 72.0.3626.121,,2019-03-14 15:39:10,2019-03-14 15:39:10,"0,063s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK-23444/Caregiver Attributes""))",Chrome 72.0.3626.121,,2019-03-14 15:39:10,2019-03-14 15:39:12,"1,486s",PASSED
delay(2),Chrome 72.0.3626.121,,2019-03-14 15:39:12,2019-03-14 15:39:14,"2,008s",PASSED
switchToDefaultContent(),Chrome 72.0.3626.121,,2019-03-14 15:39:14,2019-03-14 15:39:14,"0,030s",PASSED
"switchToFrame(findTestObject(""Regression BackOffice/CLNK-23449/FrameMain""), 30)",Chrome 72.0.3626.121,,2019-03-14 15:39:14,2019-03-14 15:39:14,"0,106s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-10235/FirstNameSearch""), 50)",Chrome 72.0.3626.121,,2019-03-14 15:39:14,2019-03-14 15:39:14,"0,069s",PASSED
"setText(findTestObject(""Regression BackOffice/CLNK-10235/FirstNameSearch""), ""Josh"")",Chrome 72.0.3626.121,,2019-03-14 15:39:14,2019-03-14 15:39:14,"0,279s",PASSED
