Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression BackOffice,Chrome 73.0.3683.103,,2019-04-24 11:23:29,2019-04-24 11:37:46,"14m - 17,296s",FAILED
,,,,,,
Test Cases/Regression BackOffice (All Browsers)/CLNK-23451 - Back office Quick Intake Wizard Payer,Chrome 73.0.3683.103,"Summary: Back office  Quick Intake Wizard Payer
Description: ",2019-04-24 11:23:30,2019-04-24 11:26:52,"3m - 22,613s",PASSED
"callTestCase(findTestCase(""Regression BackOffice (All Browsers)/CLNK-23439 - Clink - Back office Client""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,2019-04-24 11:23:32,2019-04-24 11:24:24,"52,508s",PASSED
waitForPageLoad(60),Chrome 73.0.3683.103,,2019-04-24 11:24:24,2019-04-24 11:24:24,"0,034s",PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-24 11:24:24,2019-04-24 11:24:27,"3,009s",PASSED
"switchToFrame(findTestObject(""Regression BackOffice/CLNK-23449/FrameLeft""), 30)",Chrome 73.0.3683.103,,2019-04-24 11:24:27,2019-04-24 11:24:27,"0,083s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/ClienIntakeICon""), 100)",Chrome 73.0.3683.103,,2019-04-24 11:24:27,2019-04-24 11:24:27,"0,065s",PASSED
"click(findTestObject(""Regression BackOffice/CLNK-23449/ClienIntakeICon""))",Chrome 73.0.3683.103,,2019-04-24 11:24:27,2019-04-24 11:24:28,"0,307s",PASSED
delay(2),Chrome 73.0.3683.103,,2019-04-24 11:24:28,2019-04-24 11:24:30,"2,008s",PASSED
waitForPageLoad(50),Chrome 73.0.3683.103,,2019-04-24 11:24:30,2019-04-24 11:24:30,"0,051s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/Quick Intake Wizard Link""), 50)",Chrome 73.0.3683.103,,2019-04-24 11:24:30,2019-04-24 11:24:30,"0,093s",PASSED
"click(findTestObject(""Regression BackOffice/CLNK-23449/Quick Intake Wizard Link""))",Chrome 73.0.3683.103,,2019-04-24 11:24:30,2019-04-24 11:24:32,"2,646s",PASSED
delay(2),Chrome 73.0.3683.103,,2019-04-24 11:24:32,2019-04-24 11:24:34,"2,007s",PASSED
switchToDefaultContent(),Chrome 73.0.3683.103,,2019-04-24 11:24:34,2019-04-24 11:24:34,"0,029s",PASSED
"switchToFrame(findTestObject(""Regression BackOffice/CLNK-23449/FrameMain""), 30)",Chrome 73.0.3683.103,,2019-04-24 11:24:34,2019-04-24 11:24:35,"0,106s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/New Referral Button""), 50)",Chrome 73.0.3683.103,,2019-04-24 11:24:35,2019-04-24 11:24:35,"0,065s",PASSED
"click(findTestObject(""Regression BackOffice/CLNK-23449/New Referral Button""))",Chrome 73.0.3683.103,,2019-04-24 11:24:35,2019-04-24 11:24:35,"0,387s",PASSED
waitForPageLoad(50),Chrome 73.0.3683.103,,2019-04-24 11:24:35,2019-04-24 11:24:35,"0,049s",PASSED
delay(2),Chrome 73.0.3683.103,,2019-04-24 11:24:35,2019-04-24 11:24:37,"2,007s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/ReferralType""), 50)",Chrome 73.0.3683.103,,2019-04-24 11:24:37,2019-04-24 11:24:37,"0,055s",PASSED
"focus(findTestObject(""Regression BackOffice/CLNK-23449/ReferralType""))",Chrome 73.0.3683.103,,2019-04-24 11:24:37,2019-04-24 11:24:37,"0,213s",PASSED
"click(findTestObject(""Regression BackOffice/CLNK-23449/ReferralType""))",Chrome 73.0.3683.103,,2019-04-24 11:24:37,2019-04-24 11:24:38,"0,269s",PASSED
delay(2),Chrome 73.0.3683.103,,2019-04-24 11:24:38,2019-04-24 11:24:40,"2,008s",PASSED
"sendKeys(findTestObject(""Regression BackOffice/CLNK-23449/ReferralType""), Keys.chord(ARROW_DOWN, ENTER))",Chrome 73.0.3683.103,,2019-04-24 11:24:40,2019-04-24 11:24:40,"0,223s",PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-24 11:24:40,2019-04-24 11:24:43,"3,007s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/ReferralSourcePerson""), 50)",Chrome 73.0.3683.103,,2019-04-24 11:24:43,2019-04-24 11:24:43,"0,065s",PASSED
"setText(findTestObject(""Regression BackOffice/CLNK-23449/ReferralSourcePerson""), G_ReferralSourcePerson)",Chrome 73.0.3683.103,,2019-04-24 11:24:43,2019-04-24 11:24:44,"1,267s",PASSED
delay(2),Chrome 73.0.3683.103,,2019-04-24 11:24:44,2019-04-24 11:24:46,"2,008s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/ClientFirstName""), 50)",Chrome 73.0.3683.103,,2019-04-24 11:24:46,2019-04-24 11:24:46,"0,093s",PASSED
"setText(findTestObject(""Regression BackOffice/CLNK-23449/ClientFirstName""), G_ClientFirstName)",Chrome 73.0.3683.103,,2019-04-24 11:24:46,2019-04-24 11:24:47,"0,558s",PASSED
delay(2),Chrome 73.0.3683.103,,2019-04-24 11:24:47,2019-04-24 11:24:49,"2,005s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/ClientMiddle""), 50)",Chrome 73.0.3683.103,,2019-04-24 11:24:49,2019-04-24 11:24:49,"0,064s",PASSED
"setText(findTestObject(""Regression BackOffice/CLNK-23449/ClientMiddle""), G_ClientMiddleName)",Chrome 73.0.3683.103,,2019-04-24 11:24:49,2019-04-24 11:24:49,"0,288s",PASSED
delay(2),Chrome 73.0.3683.103,,2019-04-24 11:24:49,2019-04-24 11:24:51,"2,008s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/ClientLastName""), 50)",Chrome 73.0.3683.103,,2019-04-24 11:24:51,2019-04-24 11:24:51,"0,054s",PASSED
