Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression Caregiver,Chrome 75.0.3770.142,,2019-07-29 12:02:05,2019-07-29 12:15:18,"13m - 12,394s",PASSED
,,,,,,
Test Cases/Regression BackOffice (All Browsers)/CLNK-28718 - BO - Full Caregiver creation,Chrome 75.0.3770.142,"Summary: BO - Full Caregiver creation
Description: ",2019-07-29 12:02:06,2019-07-29 12:08:18,"6m - 11,988s",PASSED
"callTestCase(findTestCase(""Regression BackOffice (All Browsers)/CLNK-23439 - Clink - Back office Client""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.142,,2019-07-29 12:02:07,2019-07-29 12:02:32,"25,213s",PASSED
waitForPageLoad(60),Chrome 75.0.3770.142,,2019-07-29 12:02:32,2019-07-29 12:02:32,"0,030s",PASSED
delay(3),Chrome 75.0.3770.142,,2019-07-29 12:02:32,2019-07-29 12:02:35,"3,015s",PASSED
"switchToFrame(findTestObject(""Regression BackOffice/CLNK-23449/FrameLeft""), 30)",Chrome 75.0.3770.142,,2019-07-29 12:02:35,2019-07-29 12:02:35,"0,049s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23441/Caregiver  HRLink""), 100)",Chrome 75.0.3770.142,,2019-07-29 12:02:35,2019-07-29 12:02:35,"0,029s",PASSED
"click(findTestObject(""Regression BackOffice/CLNK-23441/Caregiver  HRLink""))",Chrome 75.0.3770.142,,2019-07-29 12:02:35,2019-07-29 12:02:35,"0,112s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-29 12:02:35,2019-07-29 12:02:37,"2,014s",PASSED
waitForPageLoad(50),Chrome 75.0.3770.142,,2019-07-29 12:02:37,2019-07-29 12:02:37,"0,020s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/Caregiver Search""), 100)",Chrome 75.0.3770.142,,2019-07-29 12:02:37,2019-07-29 12:02:37,"0,036s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK - 28718/Caregiver Search""))",Chrome 75.0.3770.142,,2019-07-29 12:02:37,2019-07-29 12:02:38,"0,955s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-29 12:02:38,2019-07-29 12:02:40,"2,009s",PASSED
waitForPageLoad(60),Chrome 75.0.3770.142,,2019-07-29 12:02:40,2019-07-29 12:02:40,"0,022s",PASSED
switchToDefaultContent(),Chrome 75.0.3770.142,,2019-07-29 12:02:40,2019-07-29 12:02:40,"0,020s",PASSED
"switchToFrame(findTestObject(""Regression BackOffice/CLNK-23449/FrameMain""), 30)",Chrome 75.0.3770.142,,2019-07-29 12:02:40,2019-07-29 12:02:40,"0,068s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/CaregiverFirst Name""), 50)",Chrome 75.0.3770.142,,2019-07-29 12:02:40,2019-07-29 12:02:40,"0,037s",PASSED
"setText(findTestObject(""Regression BackOffice/CLINK - 28718/CaregiverFirst Name""), ""xxxxx"")",Chrome 75.0.3770.142,,2019-07-29 12:02:40,2019-07-29 12:02:41,"0,120s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-29 12:02:41,2019-07-29 12:02:43,"2,012s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/CaregiverLast Name""), 50)",Chrome 75.0.3770.142,,2019-07-29 12:02:43,2019-07-29 12:02:43,"0,026s",PASSED
"setText(findTestObject(""Regression BackOffice/CLINK - 28718/CaregiverLast Name""), ""xxxxx"")",Chrome 75.0.3770.142,,2019-07-29 12:02:43,2019-07-29 12:02:43,"0,128s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-29 12:02:43,2019-07-29 12:02:45,"2,008s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/SSN""), 50)",Chrome 75.0.3770.142,,2019-07-29 12:02:45,2019-07-29 12:02:45,"0,028s",PASSED
"setText(findTestObject(""Regression BackOffice/CLINK - 28718/SSN""), ""999999995"")",Chrome 75.0.3770.142,,2019-07-29 12:02:45,2019-07-29 12:02:45,"0,200s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-29 12:02:45,2019-07-29 12:02:47,"2,016s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/CaregiverBttnSearch""), 100)",Chrome 75.0.3770.142,,2019-07-29 12:02:47,2019-07-29 12:02:47,"0,033s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK - 28718/CaregiverBttnSearch""))",Chrome 75.0.3770.142,,2019-07-29 12:02:47,2019-07-29 12:02:48,"0,751s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-29 12:02:48,2019-07-29 12:02:50,"2,013s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/Add a new Caregiver Link""), 100)",Chrome 75.0.3770.142,,2019-07-29 12:02:50,2019-07-29 12:02:50,"0,035s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK - 28718/Add a new Caregiver Link""))",Chrome 75.0.3770.142,,2019-07-29 12:02:50,2019-07-29 12:02:52,"2,465s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-29 12:02:52,2019-07-29 12:02:54,"2,013s",PASSED
waitForPageLoad(50),Chrome 75.0.3770.142,,2019-07-29 12:02:54,2019-07-29 12:02:54,"0,021s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/CaregiverType""), 100)",Chrome 75.0.3770.142,,2019-07-29 12:02:54,2019-07-29 12:02:54,"0,050s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/CaregiverType""))",Chrome 75.0.3770.142,,2019-07-29 12:02:54,2019-07-29 12:02:55,"0,193s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-29 12:02:55,2019-07-29 12:02:57,"2,019s",PASSED
"sendKeys(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/CaregiverType""), Keys.chord(ARROW_DOWN, ENTER))",Chrome 75.0.3770.142,,2019-07-29 12:02:57,2019-07-29 12:02:57,"0,121s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-29 12:02:57,2019-07-29 12:02:59,"2,012s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/LineOfBusiness""), 100)",Chrome 75.0.3770.142,,2019-07-29 12:02:59,2019-07-29 12:02:59,"0,031s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/LineOfBusiness""))",Chrome 75.0.3770.142,,2019-07-29 12:02:59,2019-07-29 12:02:59,"0,113s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-29 12:02:59,2019-07-29 12:03:01,"2,014s",PASSED
"sendKeys(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/LineOfBusiness""), Keys.chord(ARROW_DOWN, ENTER))",Chrome 75.0.3770.142,,2019-07-29 12:03:01,2019-07-29 12:03:01,"0,069s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-29 12:03:01,2019-07-29 12:03:03,"2,013s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/First Name Caregiver""), 50)",Chrome 75.0.3770.142,,2019-07-29 12:03:03,2019-07-29 12:03:03,"0,027s",PASSED
"setText(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/First Name Caregiver""), G_CaregiverFirstName)",Chrome 75.0.3770.142,,2019-07-29 12:03:03,2019-07-29 12:03:03,"0,194s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-29 12:03:03,2019-07-29 12:03:05,"2,010s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/Last Name Caregiver""), 50)",Chrome 75.0.3770.142,,2019-07-29 12:03:05,2019-07-29 12:03:05,"0,032s",PASSED
"setText(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/Last Name Caregiver""), G_CareGiverLastName)",Chrome 75.0.3770.142,,2019-07-29 12:03:05,2019-07-29 12:03:05,"0,175s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-29 12:03:05,2019-07-29 12:03:07,"2,008s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/SSNCaregiver""), 50)",Chrome 75.0.3770.142,,2019-07-29 12:03:07,2019-07-29 12:03:07,"0,031s",PASSED
"setText(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/SSNCaregiver""), G_CaregiverSSN)",Chrome 75.0.3770.142,,2019-07-29 12:03:07,2019-07-29 12:03:08,"0,278s",PASSED
delay(2),Chrome 75.0.3770.142,,2019-07-29 12:03:08,2019-07-29 12:03:10,"2,012s",PASSED
