Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
My Patients - Add Schedule,Chrome 72.0.3626.109,,2019-02-20 10:37:30,2019-02-20 10:38:21,"51,263s",FAILED
,,,,,,
Test Cases/My Patients - AddSchedule/Create Schedule,Chrome 72.0.3626.109,,2019-02-20 10:37:31,2019-02-20 10:38:20,"49,555s",FAILED
"callTestCase(findTestCase(""Login/Verify Successful Login""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.109,,2019-02-20 10:37:32,2019-02-20 10:37:49,"17,283s",PASSED
waitForPageLoad(60),Chrome 72.0.3626.109,,2019-02-20 10:37:49,2019-02-20 10:37:49,"0,045s",PASSED
maximizeWindow(),Chrome 72.0.3626.109,,2019-02-20 10:37:49,2019-02-20 10:37:49,"0,026s",PASSED
waitForPageLoad(60),Chrome 72.0.3626.109,,2019-02-20 10:37:49,2019-02-20 10:37:49,"0,049s",PASSED
delay(3),Chrome 72.0.3626.109,,2019-02-20 10:37:49,2019-02-20 10:37:52,"3,016s",PASSED
"waitForElementPresent(findTestObject(""ClientPage/HomeLink""), 100)",Chrome 72.0.3626.109,,2019-02-20 10:37:52,2019-02-20 10:37:52,"0,075s",PASSED
"click(findTestObject(""ClientPage/HomeLink""))",Chrome 72.0.3626.109,,2019-02-20 10:37:52,2019-02-20 10:37:53,"1,259s",PASSED
delay(2),Chrome 72.0.3626.109,,2019-02-20 10:37:53,2019-02-20 10:37:55,"2,004s",PASSED
waitForPageLoad(50),Chrome 72.0.3626.109,,2019-02-20 10:37:55,2019-02-20 10:37:55,"0,017s",PASSED
"waitForElementPresent(findTestObject(""HomePage/RequestTab""), 50)",Chrome 72.0.3626.109,,2019-02-20 10:37:55,2019-02-20 10:37:55,"0,056s",PASSED
"click(findTestObject(""HomePage/RequestTab""))",Chrome 72.0.3626.109,,2019-02-20 10:37:55,2019-02-20 10:37:56,"0,173s",PASSED
delay(2),Chrome 72.0.3626.109,,2019-02-20 10:37:56,2019-02-20 10:37:58,"2,005s",PASSED
"waitForElementPresent(findTestObject(""HomePage/SearchText""), 50)",Chrome 72.0.3626.109,,2019-02-20 10:37:58,2019-02-20 10:37:58,"0,195s",PASSED
"setText(findTestObject(""HomePage/SearchText""), G_Patient)",Chrome 72.0.3626.109,,2019-02-20 10:37:58,2019-02-20 10:37:58,"0,585s",PASSED
delay(3),Chrome 72.0.3626.109,,2019-02-20 10:37:58,2019-02-20 10:38:01,"3,003s",PASSED
"waitForElementPresent(findTestObject(""HomePage/ClientLink""), 100)",Chrome 72.0.3626.109,,2019-02-20 10:38:01,2019-02-20 10:38:01,"0,073s",PASSED
"click(findTestObject(""HomePage/ClientLink""))",Chrome 72.0.3626.109,,2019-02-20 10:38:01,2019-02-20 10:38:03,"1,704s",PASSED
delay(2),Chrome 72.0.3626.109,,2019-02-20 10:38:03,2019-02-20 10:38:05,"2,003s",PASSED
waitForPageLoad(50),Chrome 72.0.3626.109,,2019-02-20 10:38:05,2019-02-20 10:38:05,"0,039s",PASSED
"waitForElementPresent(findTestObject(""My Patients - AddSchedule/button_Add Schedule""), 50)",Chrome 72.0.3626.109,,2019-02-20 10:38:05,2019-02-20 10:38:05,"0,067s",PASSED
"click(findTestObject(""My Patients - AddSchedule/button_Add Schedule""))",Chrome 72.0.3626.109,,2019-02-20 10:38:05,2019-02-20 10:38:06,"0,331s",PASSED
"waitForElementPresent(findTestObject(""My Patients - AddSchedule/FilterBySubServices""), 50)",Chrome 72.0.3626.109,,2019-02-20 10:38:06,2019-02-20 10:38:06,"0,073s",PASSED
"click(findTestObject(""My Patients - AddSchedule/FilterBySubServices""))",Chrome 72.0.3626.109,,2019-02-20 10:38:06,2019-02-20 10:38:06,"0,258s",PASSED
delay(2),Chrome 72.0.3626.109,,2019-02-20 10:38:06,2019-02-20 10:38:08,"2,002s",PASSED
"waitForElementPresent(findTestObject(""My Patients - AddSchedule/ServiceTypeList""), 50)",Chrome 72.0.3626.109,,2019-02-20 10:38:08,2019-02-20 10:38:08,"0,062s",PASSED
"click(findTestObject(""My Patients - AddSchedule/ServiceTypeList""))",Chrome 72.0.3626.109,,2019-02-20 10:38:08,2019-02-20 10:38:08,"0,292s",PASSED
delay(2),Chrome 72.0.3626.109,,2019-02-20 10:38:08,2019-02-20 10:38:10,"2,003s",PASSED
"focus(findTestObject(""My Patients - AddSchedule/ServiceTypeList""), STOP_ON_FAILURE)",Chrome 72.0.3626.109,,2019-02-20 10:38:10,2019-02-20 10:38:10,"0,153s",PASSED
"sendKeys(findTestObject(""My Patients - AddSchedule/ServiceTypeList""), Keys.chord(ARROW_DOWN, ARROW_DOWN, ARROW_DOWN, ARROW_DOWN, ARROW_DOWN, ENTER))",Chrome 72.0.3626.109,,2019-02-20 10:38:10,2019-02-20 10:38:11,"0,188s",PASSED
"waitForElementPresent(findTestObject(""My Patients - AddSchedule/StartTime""), 60)",Chrome 72.0.3626.109,,2019-02-20 10:38:11,2019-02-20 10:38:11,"0,041s",PASSED
"clearText(findTestObject(""My Patients - AddSchedule/StartTime""))",Chrome 72.0.3626.109,,2019-02-20 10:38:11,2019-02-20 10:38:11,"0,177s",PASSED
delay(3),Chrome 72.0.3626.109,,2019-02-20 10:38:11,2019-02-20 10:38:14,"3,002s",PASSED
"click(findTestObject(""My Patients - AddSchedule/StartTime""))",Chrome 72.0.3626.109,,2019-02-20 10:38:14,2019-02-20 10:38:14,"0,166s",PASSED
"setText(findTestObject(""My Patients - AddSchedule/StartTime""), G_StartTime)",Chrome 72.0.3626.109,,2019-02-20 10:38:14,2019-02-20 10:38:14,"0,428s",PASSED
delay(3),Chrome 72.0.3626.109,,2019-02-20 10:38:14,2019-02-20 10:38:17,"3,003s",PASSED
"waitForElementPresent(findTestObject(""My Patients - AddSchedule/EndTime""), 60)",Chrome 72.0.3626.109,,2019-02-20 10:38:17,2019-02-20 10:38:17,"0,058s",PASSED
"clearText(findTestObject(""My Patients - AddSchedule/EndTime""))",Chrome 72.0.3626.109,,2019-02-20 10:38:17,2019-02-20 10:38:18,"0,114s",PASSED
delay(2),Chrome 72.0.3626.109,,2019-02-20 10:38:18,2019-02-20 10:38:20,"2,004s",PASSED
"setText(findTestObject(""My Patients - AddSchedule/EndTime""), G_EndTime)",Chrome 72.0.3626.109,,2019-02-20 10:38:20,2019-02-20 10:38:20,"0,207s",PASSED
