Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression BackOffice,Chrome 72.0.3626.121,,2019-03-14 20:19:01,2019-03-14 20:20:20,"1m - 18,477s",PASSED
,,,,,,
Test Cases/Regression BackOffice (All Browsers)/CLNK-23445 - Back office Caregiver HR Details,Chrome 72.0.3626.121,"Summary: Back office Caregiver HR Details
Description: ",2019-03-14 20:19:02,2019-03-14 20:20:19,"1m - 16,735s",PASSED
"callTestCase(findTestCase(""Regression BackOffice (All Browsers)/CLNK-23439 - Clink - Back office Client""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-14 20:19:04,2019-03-14 20:19:31,"26,968s",PASSED
waitForPageLoad(60),Chrome 72.0.3626.121,,2019-03-14 20:19:31,2019-03-14 20:19:31,"0,045s",PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-14 20:19:31,2019-03-14 20:19:34,"3,009s",PASSED
"switchToFrame(findTestObject(""Regression BackOffice/CLNK-23449/FrameLeft""), 30)",Chrome 72.0.3626.121,,2019-03-14 20:19:34,2019-03-14 20:19:34,"0,110s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23441/Caregiver  HRLink""), 100)",Chrome 72.0.3626.121,,2019-03-14 20:19:34,2019-03-14 20:19:34,"0,062s",PASSED
"click(findTestObject(""Regression BackOffice/CLNK-23441/Caregiver  HRLink""))",Chrome 72.0.3626.121,,2019-03-14 20:19:34,2019-03-14 20:19:34,"0,289s",PASSED
delay(2),Chrome 72.0.3626.121,,2019-03-14 20:19:34,2019-03-14 20:19:36,"2,007s",PASSED
waitForPageLoad(50),Chrome 72.0.3626.121,,2019-03-14 20:19:36,2019-03-14 20:19:36,"0,038s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK-23445/CaregiverHRDetails""), 50)",Chrome 72.0.3626.121,,2019-03-14 20:19:36,2019-03-14 20:19:36,"0,085s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK-23445/CaregiverHRDetails""))",Chrome 72.0.3626.121,,2019-03-14 20:19:36,2019-03-14 20:19:38,"1,509s",PASSED
delay(2),Chrome 72.0.3626.121,,2019-03-14 20:19:38,2019-03-14 20:19:40,"2,009s",PASSED
switchToDefaultContent(),Chrome 72.0.3626.121,,2019-03-14 20:19:40,2019-03-14 20:19:40,"0,057s",PASSED
"switchToFrame(findTestObject(""Regression BackOffice/CLNK-23449/FrameMain""), 30)",Chrome 72.0.3626.121,,2019-03-14 20:19:40,2019-03-14 20:19:40,"0,116s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-10235/FirstNameSearch""), 50)",Chrome 72.0.3626.121,,2019-03-14 20:19:40,2019-03-14 20:19:40,"0,060s",PASSED
"setText(findTestObject(""Regression BackOffice/CLNK-10235/FirstNameSearch""), G_23444_CaregiverName)",Chrome 72.0.3626.121,,2019-03-14 20:19:40,2019-03-14 20:19:40,"0,311s",PASSED
delay(2),Chrome 72.0.3626.121,,2019-03-14 20:19:40,2019-03-14 20:19:42,"2,008s",PASSED
