Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression BackOffice,Chrome 72.0.3626.119,,2019-03-08 19:19:41,2019-03-08 19:21:20,"1m - 38,968s",PASSED
,,,,,,
Test Cases/Regression BackOffice (All Browsers)/CLNK-10620 - BackOffice Medication Profile - Patient Information,Chrome 72.0.3626.119,"Summary: BackOffice Medication Profile: Patient Information
Description: CLink - Clinical block:

1. Search for a test client

2. Open Medication Profile",2019-03-08 19:19:42,2019-03-08 19:21:19,"1m - 37,079s",PASSED
"callTestCase(findTestCase(""Regression BackOffice (All Browsers)/CLNK-23439 - Clink - Back office Client""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.119,,2019-03-08 19:19:44,2019-03-08 19:20:23,"38,783s",PASSED
waitForPageLoad(60),Chrome 72.0.3626.119,,2019-03-08 19:20:23,2019-03-08 19:20:23,"0,032s",PASSED
delay(3),Chrome 72.0.3626.119,,2019-03-08 19:20:23,2019-03-08 19:20:26,"3,019s",PASSED
"switchToFrame(findTestObject(""Regression BackOffice/CLNK-23449/FrameLeft""), 30)",Chrome 72.0.3626.119,,2019-03-08 19:20:26,2019-03-08 19:20:26,"0,106s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/ClienIntakeICon""), 100)",Chrome 72.0.3626.119,,2019-03-08 19:20:26,2019-03-08 19:20:26,"0,057s",PASSED
"click(findTestObject(""Regression BackOffice/CLNK-23449/ClienIntakeICon""))",Chrome 72.0.3626.119,,2019-03-08 19:20:26,2019-03-08 19:20:26,"0,333s",PASSED
delay(2),Chrome 72.0.3626.119,,2019-03-08 19:20:26,2019-03-08 19:20:28,"2,010s",PASSED
waitForPageLoad(50),Chrome 72.0.3626.119,,2019-03-08 19:20:28,2019-03-08 19:20:28,"0,056s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-10235/SearchforaClient""), 50)",Chrome 72.0.3626.119,,2019-03-08 19:20:28,2019-03-08 19:20:28,"0,078s",PASSED
"click(findTestObject(""Regression BackOffice/CLNK-10235/SearchforaClient""))",Chrome 72.0.3626.119,,2019-03-08 19:20:28,2019-03-08 19:20:30,"1,863s",PASSED
delay(2),Chrome 72.0.3626.119,,2019-03-08 19:20:30,2019-03-08 19:20:32,"2,010s",PASSED
switchToDefaultContent(),Chrome 72.0.3626.119,,2019-03-08 19:20:32,2019-03-08 19:20:32,"0,047s",PASSED
"switchToFrame(findTestObject(""Regression BackOffice/CLNK-23449/FrameMain""), 30)",Chrome 72.0.3626.119,,2019-03-08 19:20:32,2019-03-08 19:20:32,"0,110s",PASSED
