Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression BackOffice,Chrome 73.0.3683.103,,2019-04-09 14:11:39,2019-04-09 14:23:39,"12m - 0,177s",PASSED
,,,,,,
Test Cases/Regression BackOffice (All Browsers)/CLNK-23449 - Quick Intake Wizard,Chrome 73.0.3683.103,"Summary: Back office  Quick Intake Wizard (Automation MK)
Description: ",2019-04-09 14:11:40,2019-04-09 14:15:25,"3m - 44,754s",PASSED
"callTestCase(findTestCase(""Regression BackOffice (All Browsers)/CLNK-23439 - Clink - Back office Client""), [:], STOP_ON_FAILURE)",Chrome 73.0.3683.103,,2019-04-09 14:11:43,2019-04-09 14:12:23,"39,582s",PASSED
waitForPageLoad(60),Chrome 73.0.3683.103,,2019-04-09 14:12:23,2019-04-09 14:12:23,"0,058s",PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-09 14:12:23,2019-04-09 14:12:26,"3,009s",PASSED
"switchToFrame(findTestObject(""Regression BackOffice/CLNK-23449/FrameLeft""), 30)",Chrome 73.0.3683.103,,2019-04-09 14:12:26,2019-04-09 14:12:26,"0,093s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/ClienIntakeICon""), 100)",Chrome 73.0.3683.103,,2019-04-09 14:12:26,2019-04-09 14:12:26,"0,063s",PASSED
"click(findTestObject(""Regression BackOffice/CLNK-23449/ClienIntakeICon""))",Chrome 73.0.3683.103,,2019-04-09 14:12:26,2019-04-09 14:12:26,"0,295s",PASSED
delay(2),Chrome 73.0.3683.103,,2019-04-09 14:12:26,2019-04-09 14:12:28,"2,009s",PASSED
waitForPageLoad(50),Chrome 73.0.3683.103,,2019-04-09 14:12:28,2019-04-09 14:12:28,"0,048s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/Quick Intake Wizard Link""), 50)",Chrome 73.0.3683.103,,2019-04-09 14:12:28,2019-04-09 14:12:28,"0,063s",PASSED
"click(findTestObject(""Regression BackOffice/CLNK-23449/Quick Intake Wizard Link""))",Chrome 73.0.3683.103,,2019-04-09 14:12:28,2019-04-09 14:12:31,"3,128s",PASSED
delay(2),Chrome 73.0.3683.103,,2019-04-09 14:12:31,2019-04-09 14:12:33,"2,008s",PASSED
switchToDefaultContent(),Chrome 73.0.3683.103,,2019-04-09 14:12:33,2019-04-09 14:12:33,"0,051s",PASSED
"switchToFrame(findTestObject(""Regression BackOffice/CLNK-23449/FrameMain""), 30)",Chrome 73.0.3683.103,,2019-04-09 14:12:33,2019-04-09 14:12:34,"0,129s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/New Referral Button""), 50)",Chrome 73.0.3683.103,,2019-04-09 14:12:34,2019-04-09 14:12:34,"0,061s",PASSED
"click(findTestObject(""Regression BackOffice/CLNK-23449/New Referral Button""))",Chrome 73.0.3683.103,,2019-04-09 14:12:34,2019-04-09 14:12:34,"0,513s",PASSED
waitForPageLoad(50),Chrome 73.0.3683.103,,2019-04-09 14:12:34,2019-04-09 14:12:34,"0,029s",PASSED
delay(2),Chrome 73.0.3683.103,,2019-04-09 14:12:34,2019-04-09 14:12:36,"2,011s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/ReferralType""), 50)",Chrome 73.0.3683.103,,2019-04-09 14:12:36,2019-04-09 14:12:36,"0,197s",PASSED
"focus(findTestObject(""Regression BackOffice/CLNK-23449/ReferralType""))",Chrome 73.0.3683.103,,2019-04-09 14:12:36,2019-04-09 14:12:37,"0,488s",PASSED
"click(findTestObject(""Regression BackOffice/CLNK-23449/ReferralType""))",Chrome 73.0.3683.103,,2019-04-09 14:12:37,2019-04-09 14:12:38,"0,709s",PASSED
delay(2),Chrome 73.0.3683.103,,2019-04-09 14:12:38,2019-04-09 14:12:40,"2,009s",PASSED
"sendKeys(findTestObject(""Regression BackOffice/CLNK-23449/ReferralType""), Keys.chord(ARROW_DOWN, ENTER))",Chrome 73.0.3683.103,,2019-04-09 14:12:40,2019-04-09 14:12:40,"0,249s",PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-09 14:12:40,2019-04-09 14:12:43,"3,007s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/ReferralSourcePerson""), 50)",Chrome 73.0.3683.103,,2019-04-09 14:12:43,2019-04-09 14:12:43,"0,071s",PASSED
"setText(findTestObject(""Regression BackOffice/CLNK-23449/ReferralSourcePerson""), G_ReferralSourcePerson)",Chrome 73.0.3683.103,,2019-04-09 14:12:43,2019-04-09 14:12:44,"1,243s",PASSED
delay(2),Chrome 73.0.3683.103,,2019-04-09 14:12:44,2019-04-09 14:12:46,"2,008s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/ClientFirstName""), 50)",Chrome 73.0.3683.103,,2019-04-09 14:12:46,2019-04-09 14:12:46,"0,062s",PASSED
"setText(findTestObject(""Regression BackOffice/CLNK-23449/ClientFirstName""), G_ClientFirstName)",Chrome 73.0.3683.103,,2019-04-09 14:12:46,2019-04-09 14:12:47,"0,592s",PASSED
delay(2),Chrome 73.0.3683.103,,2019-04-09 14:12:47,2019-04-09 14:12:49,"2,006s",PASSED
