Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
My Patients - Add Schedule,Chrome 72.0.3626.109,,2019-02-20 11:06:28,2019-02-20 11:07:39,"1m - 10,207s",FAILED
,,,,,,
Test Cases/My Patients - AddSchedule/Create Schedule,Chrome 72.0.3626.109,,2019-02-20 11:06:30,2019-02-20 11:07:36,"1m - 6,832s",FAILED
"callTestCase(findTestCase(""Login/Verify Successful Login""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.109,,2019-02-20 11:06:31,2019-02-20 11:06:56,"24,644s",PASSED
waitForPageLoad(60),Chrome 72.0.3626.109,,2019-02-20 11:06:56,2019-02-20 11:06:56,"0,087s",PASSED
maximizeWindow(),Chrome 72.0.3626.109,,2019-02-20 11:06:56,2019-02-20 11:06:56,"0,138s",PASSED
waitForPageLoad(60),Chrome 72.0.3626.109,,2019-02-20 11:06:56,2019-02-20 11:06:56,"0,093s",PASSED
delay(3),Chrome 72.0.3626.109,,2019-02-20 11:06:56,2019-02-20 11:06:59,"3,018s",PASSED
"waitForElementPresent(findTestObject(""ClientPage/HomeLink""), 100)",Chrome 72.0.3626.109,,2019-02-20 11:06:59,2019-02-20 11:06:59,"0,099s",PASSED
"click(findTestObject(""ClientPage/HomeLink""))",Chrome 72.0.3626.109,,2019-02-20 11:06:59,2019-02-20 11:07:01,"1,984s",PASSED
delay(2),Chrome 72.0.3626.109,,2019-02-20 11:07:01,2019-02-20 11:07:03,"2,005s",PASSED
waitForPageLoad(50),Chrome 72.0.3626.109,,2019-02-20 11:07:03,2019-02-20 11:07:03,"0,021s",PASSED
"waitForElementPresent(findTestObject(""HomePage/RequestTab""), 50)",Chrome 72.0.3626.109,,2019-02-20 11:07:03,2019-02-20 11:07:03,"0,066s",PASSED
"click(findTestObject(""HomePage/RequestTab""))",Chrome 72.0.3626.109,,2019-02-20 11:07:03,2019-02-20 11:07:04,"0,325s",PASSED
delay(2),Chrome 72.0.3626.109,,2019-02-20 11:07:04,2019-02-20 11:07:06,"2,003s",PASSED
"waitForElementPresent(findTestObject(""HomePage/SearchText""), 50)",Chrome 72.0.3626.109,,2019-02-20 11:07:06,2019-02-20 11:07:06,"0,407s",PASSED
"setText(findTestObject(""HomePage/SearchText""), G_Patient)",Chrome 72.0.3626.109,,2019-02-20 11:07:06,2019-02-20 11:07:07,"1,123s",PASSED
delay(3),Chrome 72.0.3626.109,,2019-02-20 11:07:07,2019-02-20 11:07:10,"3,002s",PASSED
"waitForElementPresent(findTestObject(""HomePage/ClientLink""), 100)",Chrome 72.0.3626.109,,2019-02-20 11:07:10,2019-02-20 11:07:10,"0,114s",PASSED
"click(findTestObject(""HomePage/ClientLink""))",Chrome 72.0.3626.109,,2019-02-20 11:07:10,2019-02-20 11:07:13,"2,874s",PASSED
delay(2),Chrome 72.0.3626.109,,2019-02-20 11:07:13,2019-02-20 11:07:15,"2,004s",PASSED
waitForPageLoad(50),Chrome 72.0.3626.109,,2019-02-20 11:07:15,2019-02-20 11:07:15,"0,052s",PASSED
