Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
My Patients - Add Schedule,Chrome 72.0.3626.109,,2019-02-20 11:12:30,2019-02-20 11:13:30,"59,584s",PASSED
,,,,,,
Test Cases/My Patients - AddSchedule/Create Schedule,Chrome 72.0.3626.109,,2019-02-20 11:12:31,2019-02-20 11:13:28,"57,672s",PASSED
"callTestCase(findTestCase(""Login/Verify Successful Login""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.109,,2019-02-20 11:12:32,2019-02-20 11:12:49,"17,230s",PASSED
waitForPageLoad(60),Chrome 72.0.3626.109,,2019-02-20 11:12:49,2019-02-20 11:12:49,"0,054s",PASSED
maximizeWindow(),Chrome 72.0.3626.109,,2019-02-20 11:12:49,2019-02-20 11:12:49,"0,039s",PASSED
waitForPageLoad(60),Chrome 72.0.3626.109,,2019-02-20 11:12:49,2019-02-20 11:12:49,"0,034s",PASSED
delay(3),Chrome 72.0.3626.109,,2019-02-20 11:12:49,2019-02-20 11:12:52,"3,017s",PASSED
"waitForElementPresent(findTestObject(""ClientPage/HomeLink""), 100)",Chrome 72.0.3626.109,,2019-02-20 11:12:52,2019-02-20 11:12:52,"0,050s",PASSED
"click(findTestObject(""ClientPage/HomeLink""))",Chrome 72.0.3626.109,,2019-02-20 11:12:52,2019-02-20 11:12:54,"1,269s",PASSED
delay(2),Chrome 72.0.3626.109,,2019-02-20 11:12:54,2019-02-20 11:12:56,"2,006s",PASSED
waitForPageLoad(50),Chrome 72.0.3626.109,,2019-02-20 11:12:56,2019-02-20 11:12:56,"0,021s",PASSED
"waitForElementPresent(findTestObject(""HomePage/RequestTab""), 50)",Chrome 72.0.3626.109,,2019-02-20 11:12:56,2019-02-20 11:12:56,"0,050s",PASSED
"click(findTestObject(""HomePage/RequestTab""))",Chrome 72.0.3626.109,,2019-02-20 11:12:56,2019-02-20 11:12:56,"0,170s",PASSED
delay(2),Chrome 72.0.3626.109,,2019-02-20 11:12:56,2019-02-20 11:12:58,"2,005s",PASSED
"waitForElementPresent(findTestObject(""HomePage/SearchText""), 50)",Chrome 72.0.3626.109,,2019-02-20 11:12:58,2019-02-20 11:12:58,"0,173s",PASSED
"setText(findTestObject(""HomePage/SearchText""), G_Patient)",Chrome 72.0.3626.109,,2019-02-20 11:12:58,2019-02-20 11:12:59,"0,607s",PASSED
delay(3),Chrome 72.0.3626.109,,2019-02-20 11:12:59,2019-02-20 11:13:02,"3,003s",PASSED
"waitForElementPresent(findTestObject(""HomePage/ClientLink""), 100)",Chrome 72.0.3626.109,,2019-02-20 11:13:02,2019-02-20 11:13:02,"0,078s",PASSED
"click(findTestObject(""HomePage/ClientLink""))",Chrome 72.0.3626.109,,2019-02-20 11:13:02,2019-02-20 11:13:04,"1,688s",PASSED
delay(2),Chrome 72.0.3626.109,,2019-02-20 11:13:04,2019-02-20 11:13:06,"2,002s",PASSED
waitForPageLoad(50),Chrome 72.0.3626.109,,2019-02-20 11:13:06,2019-02-20 11:13:06,"0,039s",PASSED
