Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression Caregiver,Chrome 75.0.3770.100,,2019-06-24 13:20:27,2019-06-24 13:38:58,"18m - 31,220s",FAILED
,,,,,,
Test Cases/Regression BackOffice (All Browsers)/CLNK-28718 - BO - Full Caregiver creation,Chrome 75.0.3770.100,"Summary: BO - Full Caregiver creation
Description: ",2019-06-24 13:20:29,2019-06-24 13:28:31,"8m - 2,629s",PASSED
"callTestCase(findTestCase(""Regression BackOffice (All Browsers)/CLNK-23439 - Clink - Back office Client""), [:], STOP_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-24 13:20:34,2019-06-24 13:21:25,"50,713s",PASSED
waitForPageLoad(60),Chrome 75.0.3770.100,,2019-06-24 13:21:25,2019-06-24 13:21:25,"0,278s",PASSED
delay(3),Chrome 75.0.3770.100,,2019-06-24 13:21:25,2019-06-24 13:21:28,"3,022s",PASSED
"switchToFrame(findTestObject(""Regression BackOffice/CLNK-23449/FrameLeft""), 30)",Chrome 75.0.3770.100,,2019-06-24 13:21:28,2019-06-24 13:21:29,"0,441s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23441/Caregiver  HRLink""), 100)",Chrome 75.0.3770.100,,2019-06-24 13:21:29,2019-06-24 13:21:29,"0,236s",PASSED
"click(findTestObject(""Regression BackOffice/CLNK-23441/Caregiver  HRLink""))",Chrome 75.0.3770.100,,2019-06-24 13:21:29,2019-06-24 13:21:30,"0,987s",PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-24 13:21:30,2019-06-24 13:21:32,"2,013s",PASSED
waitForPageLoad(50),Chrome 75.0.3770.100,,2019-06-24 13:21:32,2019-06-24 13:21:33,"0,623s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/Caregiver Search""), 100)",Chrome 75.0.3770.100,,2019-06-24 13:21:33,2019-06-24 13:21:33,"0,237s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK - 28718/Caregiver Search""))",Chrome 75.0.3770.100,,2019-06-24 13:21:33,2019-06-24 13:21:36,"3,409s",PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-24 13:21:36,2019-06-24 13:21:38,"2,018s",PASSED
waitForPageLoad(60),Chrome 75.0.3770.100,,2019-06-24 13:21:38,2019-06-24 13:21:38,"0,123s",PASSED
switchToDefaultContent(),Chrome 75.0.3770.100,,2019-06-24 13:21:38,2019-06-24 13:21:39,"0,311s",PASSED
"switchToFrame(findTestObject(""Regression BackOffice/CLNK-23449/FrameMain""), 30)",Chrome 75.0.3770.100,,2019-06-24 13:21:39,2019-06-24 13:21:39,"0,263s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/CaregiverFirst Name""), 50)",Chrome 75.0.3770.100,,2019-06-24 13:21:39,2019-06-24 13:21:39,"0,141s",PASSED
"setText(findTestObject(""Regression BackOffice/CLINK - 28718/CaregiverFirst Name""), ""xxxxx"")",Chrome 75.0.3770.100,,2019-06-24 13:21:39,2019-06-24 13:21:40,"0,801s",PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-24 13:21:40,2019-06-24 13:21:42,"2,017s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/CaregiverLast Name""), 50)",Chrome 75.0.3770.100,,2019-06-24 13:21:42,2019-06-24 13:21:42,"0,310s",PASSED
"setText(findTestObject(""Regression BackOffice/CLINK - 28718/CaregiverLast Name""), ""xxxxx"")",Chrome 75.0.3770.100,,2019-06-24 13:21:42,2019-06-24 13:21:44,"1,352s",PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-24 13:21:44,2019-06-24 13:21:46,"2,012s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/SSN""), 50)",Chrome 75.0.3770.100,,2019-06-24 13:21:46,2019-06-24 13:21:46,"0,233s",PASSED
"setText(findTestObject(""Regression BackOffice/CLINK - 28718/SSN""), ""999999995"")",Chrome 75.0.3770.100,,2019-06-24 13:21:46,2019-06-24 13:21:47,"1,260s",PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-24 13:21:47,2019-06-24 13:21:49,"2,013s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/CaregiverBttnSearch""), 100)",Chrome 75.0.3770.100,,2019-06-24 13:21:49,2019-06-24 13:21:49,"0,271s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK - 28718/CaregiverBttnSearch""))",Chrome 75.0.3770.100,,2019-06-24 13:21:49,2019-06-24 13:21:52,"2,486s",PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-24 13:21:52,2019-06-24 13:21:54,"2,014s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/Add a new Caregiver Link""), 100)",Chrome 75.0.3770.100,,2019-06-24 13:21:54,2019-06-24 13:21:54,"0,134s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK - 28718/Add a new Caregiver Link""))",Chrome 75.0.3770.100,,2019-06-24 13:21:54,2019-06-24 13:21:59,"5,251s",PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-24 13:21:59,2019-06-24 13:22:01,"2,015s",PASSED
waitForPageLoad(50),Chrome 75.0.3770.100,,2019-06-24 13:22:01,2019-06-24 13:22:01,"0,092s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/CaregiverType""), 100)",Chrome 75.0.3770.100,,2019-06-24 13:22:01,2019-06-24 13:22:02,"0,193s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/CaregiverType""))",Chrome 75.0.3770.100,,2019-06-24 13:22:02,2019-06-24 13:22:05,"3,090s",PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-24 13:22:05,2019-06-24 13:22:07,"2,032s",PASSED
"sendKeys(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/CaregiverType""), Keys.chord(ARROW_DOWN, ENTER))",Chrome 75.0.3770.100,,2019-06-24 13:22:07,2019-06-24 13:22:08,"1,660s",PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-24 13:22:08,2019-06-24 13:22:10,"2,016s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/LineOfBusiness""), 100)",Chrome 75.0.3770.100,,2019-06-24 13:22:10,2019-06-24 13:22:11,"0,200s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/LineOfBusiness""))",Chrome 75.0.3770.100,,2019-06-24 13:22:11,2019-06-24 13:22:12,"0,901s",PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-24 13:22:12,2019-06-24 13:22:14,"2,015s",PASSED
"sendKeys(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/LineOfBusiness""), Keys.chord(ARROW_DOWN, ENTER))",Chrome 75.0.3770.100,,2019-06-24 13:22:14,2019-06-24 13:22:14,"0,465s",PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-24 13:22:14,2019-06-24 13:22:16,"2,016s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/First Name Caregiver""), 50)",Chrome 75.0.3770.100,,2019-06-24 13:22:16,2019-06-24 13:22:16,"0,354s",PASSED
"setText(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/First Name Caregiver""), G_CaregiverFirstName)",Chrome 75.0.3770.100,,2019-06-24 13:22:16,2019-06-24 13:22:18,"1,115s",PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-24 13:22:18,2019-06-24 13:22:20,"2,015s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/Last Name Caregiver""), 50)",Chrome 75.0.3770.100,,2019-06-24 13:22:20,2019-06-24 13:22:20,"0,180s",PASSED
"setText(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/Last Name Caregiver""), G_CareGiverLastName)",Chrome 75.0.3770.100,,2019-06-24 13:22:20,2019-06-24 13:22:21,"1,006s",PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-24 13:22:21,2019-06-24 13:22:23,"2,011s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/SSNCaregiver""), 50)",Chrome 75.0.3770.100,,2019-06-24 13:22:23,2019-06-24 13:22:23,"0,178s",PASSED
"setText(findTestObject(""Regression BackOffice/CLINK - 28718/General Information/SSNCaregiver""), G_CaregiverSSN)",Chrome 75.0.3770.100,,2019-06-24 13:22:23,2019-06-24 13:22:29,"5,770s",PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-24 13:22:29,2019-06-24 13:22:31,"2,002s",PASSED
"setText(findTestObject(""Regression BackOffice/CLINK - 28718/Address/Address""), ""1628 NW 6 St"")",Chrome 75.0.3770.100,,2019-06-24 13:22:31,2019-06-24 13:22:33,"2,637s",PASSED
delay(3),Chrome 75.0.3770.100,,2019-06-24 13:22:33,2019-06-24 13:22:36,"3,009s",PASSED
"setText(findTestObject(""Regression BackOffice/CLINK - 28718/Address/City""), ""Miami"")",Chrome 75.0.3770.100,,2019-06-24 13:22:36,2019-06-24 13:22:37,"1,005s",PASSED
delay(3),Chrome 75.0.3770.100,,2019-06-24 13:22:37,2019-06-24 13:22:40,"3,016s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK - 28718/Address/State""), CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-24 13:22:40,2019-06-24 13:22:42,"1,315s",PASSED
"sendKeys(findTestObject(""Regression BackOffice/CLINK - 28718/Address/State""), ""Florida"")",Chrome 75.0.3770.100,,2019-06-24 13:22:42,2019-06-24 13:22:42,"0,486s",PASSED
"sendKeys(findTestObject(""Regression BackOffice/CLINK - 28718/Address/State""), Keys.chord(ENTER))",Chrome 75.0.3770.100,,2019-06-24 13:22:42,2019-06-24 13:22:43,"0,382s",PASSED
delay(5),Chrome 75.0.3770.100,,2019-06-24 13:22:43,2019-06-24 13:22:48,"5,012s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK - 28718/Address/BtnVerify""), CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-24 13:22:48,2019-06-24 13:22:48,"0,866s",PASSED
delay(5),Chrome 75.0.3770.100,,2019-06-24 13:22:48,2019-06-24 13:22:53,"5,013s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK - 28718/Address/ChkVerify""), CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-24 13:22:53,2019-06-24 13:22:55,"1,609s",PASSED
delay(3),Chrome 75.0.3770.100,,2019-06-24 13:22:55,2019-06-24 13:22:58,"3,014s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK - 28718/Phone/Add New Phone Link""), 100)",Chrome 75.0.3770.100,,2019-06-24 13:22:58,2019-06-24 13:22:59,"0,662s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK - 28718/Phone/Add New Phone Link""))",Chrome 75.0.3770.100,,2019-06-24 13:22:59,2019-06-24 13:23:01,"2,094s",PASSED
delay(2),Chrome 75.0.3770.100,,2019-06-24 13:23:01,2019-06-24 13:23:03,"2,029s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK - 28718/Phone/PhoneType""), CONTINUE_ON_FAILURE)",Chrome 75.0.3770.100,,2019-06-24 13:23:03,2019-06-24 13:23:04,"1,538s",PASSED
