Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression BackOffice,Chrome 73.0.3683.103,,2019-04-09 10:58:47,2019-04-09 11:11:19,"12m - 32,060s",PASSED
,,,,,,
Test Cases/Regression BackOffice (All Browsers)/CLNK-23439 - Clink - Back office Client,Chrome 73.0.3683.103,"Summary: Clink - Back office  Client 
Description: ",2019-04-09 10:58:48,2019-04-09 10:59:17,"29,391s",PASSED
openBrowser(G_SiteBackOffice),Chrome 73.0.3683.103,,2019-04-09 10:58:50,2019-04-09 10:59:02,"11,661s",PASSED
waitForPageLoad(60),Chrome 73.0.3683.103,,2019-04-09 10:59:02,2019-04-09 10:59:02,"0,248s",PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-09 10:59:02,2019-04-09 10:59:04,"1,278s",PASSED
"setText(findTestObject(""Regression BackOffice/Login/UserBackOffice""), G_UserBackOffice)",Chrome 73.0.3683.103,,2019-04-09 10:59:04,2019-04-09 10:59:05,"1,094s",PASSED
"setText(findTestObject(""Regression BackOffice/Login/PasswordBackOffice""), G_PasswordBackOffice)",Chrome 73.0.3683.103,,2019-04-09 10:59:05,2019-04-09 10:59:05,"0,403s",PASSED
"click(findTestObject(""Regression BackOffice/Login/LoginBackOffice""))",Chrome 73.0.3683.103,,2019-04-09 10:59:05,2019-04-09 10:59:12,"6,641s",PASSED
waitForPageLoad(60),Chrome 73.0.3683.103,,2019-04-09 10:59:12,2019-04-09 10:59:12,"0,046s",PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-09 10:59:12,2019-04-09 10:59:15,"3,066s",PASSED
"switchToFrame(findTestObject(""Regression BackOffice/CLNK-23449/FrameLeft""), 5)",Chrome 73.0.3683.103,,2019-04-09 10:59:15,2019-04-09 10:59:15,"0,199s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/ClienIntakeICon""), 60)",Chrome 73.0.3683.103,,2019-04-09 10:59:15,2019-04-09 10:59:15,"0,076s",PASSED
"verifyElementPresent(findTestObject(""Regression BackOffice/CLNK-23449/ClienIntakeICon""), 100)",Chrome 73.0.3683.103,,2019-04-09 10:59:15,2019-04-09 10:59:15,"0,062s",PASSED
switchToDefaultContent(),Chrome 73.0.3683.103,,2019-04-09 10:59:15,2019-04-09 10:59:15,"0,086s",PASSED
,,,,,,
