Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression BackOffice,Chrome 72.0.3626.121,,2019-03-16 11:47:12,2019-03-16 11:48:17,"1m - 5,398s",FAILED
,,,,,,
Test Cases/Regression BackOffice (All Browsers)/CLNK-23446 - Back office Caregiver Locations,Chrome 72.0.3626.121,"Summary: Back office Caregiver Locations
Description: ",2019-03-16 11:47:13,2019-03-16 11:48:16,"1m - 3,782s",FAILED
"callTestCase(findTestCase(""Regression BackOffice (All Browsers)/CLNK-23439 - Clink - Back office Client""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-16 11:47:15,2019-03-16 11:47:40,"25,253s",PASSED
waitForPageLoad(60),Chrome 72.0.3626.121,,2019-03-16 11:47:40,2019-03-16 11:47:40,"0,032s",PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-16 11:47:40,2019-03-16 11:47:43,"3,013s",PASSED
"switchToFrame(findTestObject(""Regression BackOffice/CLNK-23449/FrameLeft""), 30)",Chrome 72.0.3626.121,,2019-03-16 11:47:43,2019-03-16 11:47:43,"0,101s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23441/Caregiver  HRLink""), 100)",Chrome 72.0.3626.121,,2019-03-16 11:47:43,2019-03-16 11:47:43,"0,066s",PASSED
"click(findTestObject(""Regression BackOffice/CLNK-23441/Caregiver  HRLink""))",Chrome 72.0.3626.121,,2019-03-16 11:47:43,2019-03-16 11:47:43,"0,269s",PASSED
delay(2),Chrome 72.0.3626.121,,2019-03-16 11:47:43,2019-03-16 11:47:45,"2,006s",PASSED
waitForPageLoad(50),Chrome 72.0.3626.121,,2019-03-16 11:47:45,2019-03-16 11:47:45,"0,025s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK-23446/Caregiver Locations""), 50)",Chrome 72.0.3626.121,,2019-03-16 11:47:45,2019-03-16 11:47:46,"0,058s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK-23446/Caregiver Locations""))",Chrome 72.0.3626.121,,2019-03-16 11:47:46,2019-03-16 11:47:47,"1,132s",PASSED
delay(2),Chrome 72.0.3626.121,,2019-03-16 11:47:47,2019-03-16 11:47:49,"2,041s",PASSED
switchToDefaultContent(),Chrome 72.0.3626.121,,2019-03-16 11:47:49,2019-03-16 11:47:49,"0,046s",PASSED
"switchToFrame(findTestObject(""Regression BackOffice/CLNK-23449/FrameMain""), 30)",Chrome 72.0.3626.121,,2019-03-16 11:47:49,2019-03-16 11:47:49,"0,116s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-10235/FirstNameSearch""), 50)",Chrome 72.0.3626.121,,2019-03-16 11:47:49,2019-03-16 11:47:49,"0,053s",PASSED
