Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression BackOffice,Chrome 72.0.3626.119,,2019-03-13 21:02:36,2019-03-13 21:04:26,"1m - 49,975s",PASSED
,,,,,,
Test Cases/Regression BackOffice (All Browsers)/CLNK-23442 - Back office Caregiver Demographics,Chrome 72.0.3626.119,"Summary: Back office  Caregiver Demographics
Description: ",2019-03-13 21:02:37,2019-03-13 21:04:24,"1m - 47,805s",PASSED
"callTestCase(findTestCase(""Regression BackOffice (All Browsers)/CLNK-23439 - Clink - Back office Client""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.119,,2019-03-13 21:02:39,2019-03-13 21:03:13,"34,054s",PASSED
waitForPageLoad(60),Chrome 72.0.3626.119,,2019-03-13 21:03:13,2019-03-13 21:03:13,"0,077s",PASSED
delay(3),Chrome 72.0.3626.119,,2019-03-13 21:03:13,2019-03-13 21:03:17,"3,010s",PASSED
"switchToFrame(findTestObject(""Regression BackOffice/CLNK-23449/FrameLeft""), 30)",Chrome 72.0.3626.119,,2019-03-13 21:03:17,2019-03-13 21:03:17,"0,095s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23441/Caregiver  HRLink""), 100)",Chrome 72.0.3626.119,,2019-03-13 21:03:17,2019-03-13 21:03:17,"0,074s",PASSED
"click(findTestObject(""Regression BackOffice/CLNK-23441/Caregiver  HRLink""))",Chrome 72.0.3626.119,,2019-03-13 21:03:17,2019-03-13 21:03:17,"0,353s",PASSED
delay(2),Chrome 72.0.3626.119,,2019-03-13 21:03:17,2019-03-13 21:03:19,"2,011s",PASSED
waitForPageLoad(50),Chrome 72.0.3626.119,,2019-03-13 21:03:19,2019-03-13 21:03:19,"0,056s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK-23442/CaregiverDemographics""), 50)",Chrome 72.0.3626.119,,2019-03-13 21:03:19,2019-03-13 21:03:19,"0,070s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK-23442/CaregiverDemographics""))",Chrome 72.0.3626.119,,2019-03-13 21:03:19,2019-03-13 21:03:21,"1,360s",PASSED
delay(2),Chrome 72.0.3626.119,,2019-03-13 21:03:21,2019-03-13 21:03:23,"2,008s",PASSED
switchToDefaultContent(),Chrome 72.0.3626.119,,2019-03-13 21:03:23,2019-03-13 21:03:23,"0,085s",PASSED
"switchToFrame(findTestObject(""Regression BackOffice/CLNK-23449/FrameMain""), 30)",Chrome 72.0.3626.119,,2019-03-13 21:03:23,2019-03-13 21:03:23,"0,212s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-10235/FirstNameSearch""), 50)",Chrome 72.0.3626.119,,2019-03-13 21:03:23,2019-03-13 21:03:23,"0,088s",PASSED
"setText(findTestObject(""Regression BackOffice/CLNK-10235/FirstNameSearch""), ""James"")",Chrome 72.0.3626.119,,2019-03-13 21:03:23,2019-03-13 21:03:23,"0,487s",PASSED
delay(2),Chrome 72.0.3626.119,,2019-03-13 21:03:23,2019-03-13 21:03:25,"2,007s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23441/Last NameHR""), 50)",Chrome 72.0.3626.119,,2019-03-13 21:03:25,2019-03-13 21:03:26,"0,119s",PASSED
"setText(findTestObject(""Regression BackOffice/CLNK-23441/Last NameHR""), ""Test"")",Chrome 72.0.3626.119,,2019-03-13 21:03:26,2019-03-13 21:03:26,"0,366s",PASSED
delay(2),Chrome 72.0.3626.119,,2019-03-13 21:03:26,2019-03-13 21:03:28,"2,008s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLNK-23441/CaregiverSearchButton""), 50)",Chrome 72.0.3626.119,,2019-03-13 21:03:28,2019-03-13 21:03:28,"0,149s",PASSED
"click(findTestObject(""Regression BackOffice/CLNK-23441/CaregiverSearchButton""), STOP_ON_FAILURE)",Chrome 72.0.3626.119,,2019-03-13 21:03:28,2019-03-13 21:03:29,"1,435s",PASSED
delay(2),Chrome 72.0.3626.119,,2019-03-13 21:03:29,2019-03-13 21:03:32,"2,007s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK-23442/ClientLink""), 50)",Chrome 72.0.3626.119,,2019-03-13 21:03:32,2019-03-13 21:03:32,"0,144s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK-23442/ClientLink""), STOP_ON_FAILURE)",Chrome 72.0.3626.119,,2019-03-13 21:03:32,2019-03-13 21:03:35,"3,560s",PASSED
delay(2),Chrome 72.0.3626.119,,2019-03-13 21:03:35,2019-03-13 21:03:37,"2,007s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK-23442/NickName""), 50)",Chrome 72.0.3626.119,,2019-03-13 21:03:37,2019-03-13 21:03:37,"0,128s",PASSED
"setText(findTestObject(""Regression BackOffice/CLINK-23442/NickName""), ""Pache"")",Chrome 72.0.3626.119,,2019-03-13 21:03:37,2019-03-13 21:03:38,"0,748s",PASSED
delay(2),Chrome 72.0.3626.119,,2019-03-13 21:03:38,2019-03-13 21:03:40,"2,045s",PASSED
"scrollToElement(findTestObject(""Regression BackOffice/CLINK-23442/NewPhoneLink""), 50)",Chrome 72.0.3626.119,,2019-03-13 21:03:40,2019-03-13 21:03:40,"0,169s",PASSED
delay(1),Chrome 72.0.3626.119,,2019-03-13 21:03:40,2019-03-13 21:03:41,"1,009s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK-23442/NewPhoneLink""), STOP_ON_FAILURE)",Chrome 72.0.3626.119,,2019-03-13 21:03:41,2019-03-13 21:03:42,"0,416s",PASSED
delay(2),Chrome 72.0.3626.119,,2019-03-13 21:03:42,2019-03-13 21:03:44,"2,008s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK-23442/PhoneTypeList""), 50)",Chrome 72.0.3626.119,,2019-03-13 21:03:44,2019-03-13 21:03:44,"0,111s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK-23442/PhoneTypeList""), STOP_ON_FAILURE)",Chrome 72.0.3626.119,,2019-03-13 21:03:44,2019-03-13 21:03:44,"0,398s",PASSED
"sendKeys(findTestObject(""Regression BackOffice/CLINK-23442/PhoneTypeList""), Keys.chord(ARROW_DOWN, ARROW_DOWN, ARROW_DOWN, ENTER))",Chrome 72.0.3626.119,,2019-03-13 21:03:44,2019-03-13 21:03:45,"0,287s",PASSED
delay(2),Chrome 72.0.3626.119,,2019-03-13 21:03:45,2019-03-13 21:03:47,"2,007s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK-23442/PhoneNumber""), 50)",Chrome 72.0.3626.119,,2019-03-13 21:03:47,2019-03-13 21:03:47,"0,091s",PASSED
"setText(findTestObject(""Regression BackOffice/CLINK-23442/PhoneNumber""), ""5445655689"")",Chrome 72.0.3626.119,,2019-03-13 21:03:47,2019-03-13 21:03:48,"1,027s",PASSED
delay(2),Chrome 72.0.3626.119,,2019-03-13 21:03:48,2019-03-13 21:03:50,"2,007s",PASSED
"waitForElementPresent(findTestObject(""Regression BackOffice/CLINK-23442/Add to List Button""), 50)",Chrome 72.0.3626.119,,2019-03-13 21:03:50,2019-03-13 21:03:50,"0,079s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK-23442/Add to List Button""), STOP_ON_FAILURE)",Chrome 72.0.3626.119,,2019-03-13 21:03:50,2019-03-13 21:03:50,"0,385s",PASSED
delay(2),Chrome 72.0.3626.119,,2019-03-13 21:03:50,2019-03-13 21:03:52,"2,007s",PASSED
"scrollToElement(findTestObject(""Regression BackOffice/CLINK-23442/Group""), 50)",Chrome 72.0.3626.119,,2019-03-13 21:03:52,2019-03-13 21:03:52,"0,166s",PASSED
delay(1),Chrome 72.0.3626.119,,2019-03-13 21:03:52,2019-03-13 21:03:53,"1,007s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK-23442/Group""), STOP_ON_FAILURE)",Chrome 72.0.3626.119,,2019-03-13 21:03:53,2019-03-13 21:03:54,"0,391s",PASSED
"sendKeys(findTestObject(""Regression BackOffice/CLINK-23442/Group""), Keys.chord(ARROW_DOWN, ENTER))",Chrome 72.0.3626.119,,2019-03-13 21:03:54,2019-03-13 21:03:54,"0,177s",PASSED
delay(2),Chrome 72.0.3626.119,,2019-03-13 21:03:54,2019-03-13 21:03:56,"2,007s",PASSED
"scrollToElement(findTestObject(""Regression BackOffice/CLINK-23442/SubGroup""), 50)",Chrome 72.0.3626.119,,2019-03-13 21:03:56,2019-03-13 21:03:56,"0,201s",PASSED
"click(findTestObject(""Regression BackOffice/CLINK-23442/SubGroup""), STOP_ON_FAILURE)",Chrome 72.0.3626.119,,2019-03-13 21:03:56,2019-03-13 21:03:57,"0,508s",PASSED
